
一、DCC通风设备
序号,轴位,区域,编号,宽度/m,高度/m,左右接,安装方式,数量/台,来源图纸
129,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲1223-4642740-LAY-1F-1_500-A,2000*2300(右) DCC-B,4,X-HLP3-AR-F3-LAY-01-001
130,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703325-LAY-1F-1_500-A,3500x2300(左) DCC-F,4,X-HLP3-AR-F3-LAY-01-001
131,,,单扇防火门,单扇平开防火门_带观察窗 - KBM1123-4703538-LAY-1F-1_500-A,3500x2300(右) DCC-F,4,X-HLP3-AR-F3-LAY-01-001
132,,,双扇防火门,双扇平开防火门_带观察窗 - FM甲2430-4642638-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
133,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D,3,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
134,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703329-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,3,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
135,,,单扇防火门,单扇平开防火门_带观察窗 - FM甲1123-4703327-LAY-1F-1_500-A,2850x2300(右) DCC-D*2,3,"X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-01-001, X-HLP3-AR-F3-LAY-02-001"
136,,,门,单扇平开门1 - CCB1221-3601981-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
137,,,门,双扇平开外门_带观察窗 - GM1530_A_-4335688-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
138,,,门,双扇平开门-角度可调 - FM甲2427_160__-4689997-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
139,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-3762917-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
140,,,门,坐便器带厕所隔断 内开门 - 坐便器带厕所隔断 内开门-V76-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
141,,,门,双扇平开外门_带观察窗 - TFDM1530_A_-4566159-LAY-1F-1_500-A,,3,X-HLP3-AR-F3-LAY-01-001
